Time, HR, GSR,label
0,459,525,sad
0,461,525,sad
0,461,525,sad
0,465,525,sad
0,466,525,sad
0,461,525,sad
0,461,525,sad
0,461,525,sad
0,461,529,sad
0,461,525,sad
0,463,525,sad
0,461,525,sad
0,463,525,sad
0,465,525,sad
0,461,525,sad
0,461,525,sad
0,461,525,sad
0,461,525,sad
0,461,525,sad
0,461,525,sad
0,461,525,sad
0,461,525,sad
0,461,525,sad
0,461,525,sad
0,460,525,sad
0,461,525,sad
0,461,525,sad
0,461,529,sad
0,461,525,sad
0,461,525,sad
0,461,525,sad
0,461,525,sad
0,459,525,sad
0,463,525,sad
1,461,525,sad
1,461,525,sad
1,461,525,sad
1,461,525,sad
1,461,525,sad
1,459,525,sad
1,461,525,sad
1,461,525,sad
1,461,525,sad
1,461,525,sad
1,460,525,sad
1,461,525,sad
1,461,525,sad
1,460,525,sad
1,460,525,sad
1,460,525,sad
1,460,525,sad
1,460,525,sad
1,460,525,sad
1,460,525,sad
1,460,525,sad
1,460,525,sad
1,460,524,sad
1,460,525,sad
1,460,525,sad
1,460,525,sad
1,460,525,sad
1,460,525,sad
1,460,525,sad
1,461,525,sad
1,461,525,sad
1,461,525,sad
1,461,525,sad
1,461,525,sad
1,461,525,sad
1,461,525,sad
1,461,525,sad
2,461,525,sad
2,461,525,sad
2,461,525,sad
2,461,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,460,525,sad
2,459,525,sad
2,459,525,sad
2,459,525,sad
2,459,525,sad
2,459,525,sad
3,459,525,sad
3,459,525,sad
3,464,525,sad
3,459,525,sad
3,459,525,sad
3,459,525,sad
3,459,525,sad
3,459,525,sad
3,459,525,sad
3,459,525,sad
3,459,525,sad
3,459,525,sad
3,459,525,sad
