Time, HR, GSR
0,460.0,522.0
0,460.0,523.0
0,460.0,523.0
0,460.0,523.0
0,460.0,523.0
0,460.0,523.0
0,460.0,523.0
0,460.0,522.0
0,460.0,522.0
0,460.0,522.0
0,460.0,522.0
0,460.0,521.0
0,460.0,521.0
0,461.0,520.0
0,461.0,520.0
0,461.0,520.0
0,461.0,520.0
0,461.0,520.0
0,461.0,519.0
0,461.0,519.0
0,460.0,518.0
0,460.0,518.0
0,461.0,520.0
0,461.0,521.0
0,461.0,522.0
0,461.0,522.0
0,461.0,521.0
0,460.0,520.0
0,460.0,518.0
0,460.0,516.0
1,460.0,515.0
1,460.0,513.0
1,459.0,512.0
1,459.0,510.0
1,459.0,509.0
1,459.0,508.0
1,459.0,507.0
1,459.0,506.0
1,458.0,505.0
1,458.0,505.0
1,458.0,505.0
1,458.0,504.0
1,458.0,505.0
1,458.0,505.0
1,458.0,506.0
1,459.0,507.0
1,459.0,508.0
1,459.0,510.0
1,459.0,511.0
1,460.0,512.0
1,460.0,513.0
1,460.0,513.0
1,460.0,513.0
1,460.0,513.0
1,460.0,513.0
1,460.0,512.0
1,460.0,511.0
1,459.0,508.0
1,459.0,506.0
1,459.0,505.0
1,459.0,505.0
1,459.0,505.0
1,459.0,506.0
2,459.0,505.0
2,459.0,505.0
2,459.0,505.0
2,458.0,503.0
2,458.0,499.0
2,458.0,497.0
2,457.0,495.0
2,457.0,495.0
2,458.0,498.0
2,458.0,501.0
2,458.0,503.0
2,458.0,504.0
2,458.0,505.0
2,458.0,506.0
2,458.0,506.0
2,458.0,506.0
2,458.0,506.0
2,458.0,507.0
2,458.0,508.0
2,458.0,509.0
2,458.0,509.0
2,458.0,510.0
2,458.0,510.0
2,459.0,510.0
2,459.0,510.0
2,459.0,510.0
2,459.0,509.0
2,459.0,509.0
2,459.0,508.0
2,459.0,508.0
2,459.0,508.0
2,459.0,508.0
2,459.0,508.0
2,459.0,509.0
3,459.0,509.0
3,459.0,509.0
3,459.0,509.0
3,459.0,509.0
3,459.0,509.0
3,459.0,508.0
3,459.0,507.0
3,459.0,507.0
3,459.0,507.0
3,459.0,507.0
3,459.0,506.0
3,459.0,506.0
3,459.0,506.0
3,459.0,506.0
3,460.0,506.0
3,459.0,506.0
3,460.0,506.0
3,460.0,506.0
3,460.0,506.0
3,460.0,506.0
3,460.0,506.0
3,460.0,506.0
3,460.0,506.0
3,460.0,505.0
3,460.0,505.0
3,460.0,505.0
3,460.0,505.0
3,460.0,505.0
3,460.0,505.0
3,460.0,505.0
3,460.0,505.0
3,459.0,504.0
3,459.0,504.0
4,459.0,504.0
4,459.0,504.0
4,459.0,503.0
4,459.0,503.0
4,459.0,503.0
4,459.0,503.0
4,459.0,503.0
4,459.0,503.0
4,459.0,503.0
4,459.0,503.0
4,459.0,504.0
4,459.0,503.0
4,460.0,503.0
4,460.0,502.0
4,460.0,501.0
4,460.0,501.0
4,460.0,500.0
4,459.0,500.0
4,459.0,500.0
4,459.0,500.0
4,459.0,500.0
4,459.0,500.0
4,459.0,500.0
4,459.0,500.0
4,459.0,499.0
4,459.0,499.0
4,459.0,499.0
4,459.0,499.0
4,459.0,499.0
4,459.0,499.0
4,459.0,499.0
4,459.0,499.0
4,459.0,499.0
5,459.0,499.0
5,459.0,499.0
5,459.0,499.0
5,459.0,498.0
5,459.0,498.0
5,458.0,498.0
5,458.0,498.0
5,458.0,498.0
5,458.0,498.0
5,458.0,498.0
5,458.0,498.0
5,458.0,499.0
5,458.0,499.0
5,458.0,499.0
5,458.0,500.0
5,458.0,500.0
5,459.0,500.0
5,459.0,501.0
5,458.0,501.0
5,458.0,500.0
5,458.0,500.0
5,458.0,500.0
5,458.0,500.0
5,458.0,499.0
5,458.0,500.0
5,458.0,500.0
5,458.0,500.0
5,458.0,500.0
5,458.0,499.0
5,458.0,499.0
5,458.0,499.0
5,457.0,499.0
5,457.0,499.0
6,457.0,499.0
6,457.0,499.0
6,457.0,499.0
6,457.0,499.0
6,457.0,500.0
6,457.0,499.0
6,457.0,499.0
6,457.0,499.0
6,456.0,499.0
6,456.0,498.0
6,456.0,498.0
6,456.0,498.0
6,456.0,497.0
6,455.0,497.0
6,455.0,497.0
6,455.0,497.0
6,455.0,498.0
6,455.0,498.0
6,455.0,498.0
6,455.0,498.0
6,455.0,498.0
6,455.0,498.0
6,454.0,497.0
6,454.0,498.0
6,454.0,498.0
6,454.0,498.0
6,455.0,499.0
6,455.0,500.0
6,455.0,500.0
6,455.0,500.0
6,455.0,499.0
6,454.0,499.0
6,454.0,498.0
7,454.0,497.0
7,453.0,497.0
7,453.0,496.0
7,453.0,495.0
7,453.0,495.0
7,452.0,495.0
7,452.0,494.0
7,452.0,494.0
7,452.0,494.0
7,451.0,494.0
7,451.0,495.0
7,451.0,495.0
7,451.0,495.0
7,451.0,495.0
7,450.0,495.0
7,450.0,494.0
7,450.0,494.0
7,449.0,494.0
7,449.0,493.0
7,449.0,493.0
